Numero,Tipo,Ementa,Autor,UF,Partido original,Partido atual,Data,Situação,Link
PL 4332/2021,Altera,"Dá nova redação e acrescenta incisos ao art. 154, da Lei nº 13.105, de 16 de março de 2015.",Ricardo Silva,SP,PSB,PSB,dez.21,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2310852
PL 221/2022,Acrescenta,"Institui e amplia a Rede de Cuidados à Pessoa com Deficiência, por meio da criação, ampliação e articulação de pontos de atenção à saúde para pessoas com deficiência temporária ou permanente, progressiva, regressiva, ou estável, intermitente ou contínua, no âmbito do Sistema Único de Saúde - SUS. Institui e fomenta a área de pesquisa e desenvolvimento de novas tecnologias no âmbito dos Centros Especializados em Reabilitação (CER) e das Oficinas Ortopédicas. Fomenta a ampliação da oferta de Órteses, Próteses e Meios Auxiliares de Locomoção (OPMEs) no âmbito do SUS, por meio de apoio financeiro ao custeio incentivado por programa de renúncia fiscal à pessoa jurídica de direito privado, aos Estabelecimentos de Saúde do SUS, utilizando-se como referência a Tabela de Procedimentos, Medicamentos, Órteses, Próteses e Materiais Especiais do SUS e dá outras providências.

",Nereu Crispim,RS,PSL,UNIÃO,fev.22,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2314400
PL 791/2023,"Direitos, deveres","Estabelece procedimentos a serem adotados pela União em regime de colaboração com os Estados, Distrito Federal e Municípios em situação de riscos e desastres mediante o uso de Sistemas de Processamento de Dados e de Inteligência Artificial (IA), com objetivo na organização, solução e implementação integrada e da outras providências. ",Emanuel Pinheiro Neto,MT,MDB,MDB,mar.23,Aguardando Designação de Relator(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2349820
PL 3379/2023,Altera,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, de diretrizes e bases da educação nacional, para dispor sobre a inclusão do ensino de Inteligência Artificial no ensino médio.",Neto Carletto,BA,PP,PP,jul.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2372533
PL 3423/2023,Altera,"Altera a Lei nº 7.998, de 11 de janeiro de 1990, para dispor sobre a contribuição voluntária das empresas que façam uso de inteligência artificial para o Fundo de Amparo ao Trabalhador e a concessão do selo “Empresa Amiga do Emprego”.
",Caio Vianna,RJ,PSD,PSD,jul.23,Pronta para Pauta,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2372802
PL 3444/2023,Altera,"Define a atividade de influência em meio eletrônico, altera a Lei 8.069, de 13 de julho de 1990 para impor a necessidade de autorização judicial para participação de crianças em gravações audiovisuais a título oneroso, estabelece regras relativas a publicidade e uso de imagem e obrigações para agentes e provedores digitais.",Lídice da Mata,BA,PSB,PSB,jul.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2372913
PL 2394/2023,"Normativa, diretriz","Criminaliza a produção, oferta, comercialização, divulgação, transmissão ou posse de imagens que representem crianças ou adolescentes em cenas de sexo explícito, implícito ou de cunho pornográfico, utilizando recursos de inteligência artificial ou meio semelhante. Acrescenta o artigo 241-F, à Lei 8.069 de 13 de julho de 1.990, (Estatuto da Criança e do Adolescente) e dá outras providências.",Delegado Marcelo Freitas,MG,UNIÃO,UNIÃO,mai.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2360615
PL 2421/2023,Cria,"Dispõe sobre a criação do Fundo de Renda Básica, que será utilizado para redistribuição de renda para os trabalhadores afetados pelo uso de inteligência artificial e alto grau de automação no mercado de trabalho.",Camila Jara,MS,PT,PT,mai.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2360834
PL 2474/2023,Institui," Institui, em caráter permanente, no Instituto Nacional do Seguro Social, o Programa Especial para Revisão de Benefícios com Indícios de Deferimento Irregular, o Programa Especial para Revisão de Pedidos de Benefícios com Indícios de Indeferimento Irregular e a Política de Dados Abertos do INSS.",Samuel Viana,MG,PL,PL,mai.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2361457
PL 2482/2023,Altera,"Altera a destinação e contribuições aos Fundos que especifica visando à implementação de diretrizes e bases do planejamento do desenvolvimento nacional equilibrado, bem como altera a Lei no 10.052, de 28 de novembro de 2000, e a Lei no 9.998, de 17 de agosto de 2000.",Da Vitoria;Dr. Victor Linhalis;Amom Mandel;Félix Mendonça Júnior,ES;ES;AM;BA,PP;PODE;CIDADANIA;PDT,PP;PODE;CIDADANIA;PDT,mai.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2361486
PL 2478/2023,"Normativa, diretriz","Dispõe sobre diretrizes e bases do planejamento do desenvolvimento nacional equilibrado, regulamenta o § 1º do art. 174 da Constituição Federal, prevê o estabelecimento do Plano Nacional de Desenvolvimento Econômico e Social de Longo Prazo, cria o Conselho Nacional de Planejamento do Desenvolvimento Econômico e Social e dá outras providências.",Da Vitoria;Dr. Victor Linhalis;Amom Mandel;Félix Mendonça Júnior,ES;ES;AM;BA,PP;PODE;CIDADANIA;PDT,PP;PODE;CIDADANIA;PDT,mai.23,Aguardando Designação - Aguardando Devolução de Relator(a) que deixou de ser Membro,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2361479
PL 1106/2023,Declara,"Reconhece a Robótica como esporte de competição e de relevância educacional, na forma que especifica.",Luiz Carlos Motta,SP,PL,PL,mar.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2351249
PL 2884/2019,Declara,Define a competência da Justiça do Trabalho para processos que envolvam trabalho individual via plataformas digitais.,Celso Russomanno,SP,PRB,REPUBLIC,mai.19,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2203318
PL 3902/2023,Altera,"Altera a Lei nº 12.965, de 23 de abril de 2014, para coibir o uso, criação, distribuição e comercialização de aplicativos e programas destinados à criação de imagens ou vídeos pornográficos ou obscenos falsos.",Romero Rodrigues;Nely Aquino,PB;MG,PSC;PODE,PSC;PODE,ago.23,Pronta para Pauta,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2379020
PL 1153/2023,"Direitos, deveres","Dispõe sobre normas gerais para a pesquisa, o desenvolvimento e a aplicação da inteligência artificial - IA, e seu uso consciente e ético no âmbito da União, dos Estados, do Distrito Federal e dos Municípios.",Carlos Henrique Gaguim,TO,UNIÃO,UNIÃO,mar.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2351386
PL 4939/2020,"Normativa, diretriz","Dispõe sobre as diretrizes do direito da Tecnologia da Informação e as normas de obtenção e admissibilidade de provas digitais na investigação e no processo, além de outras providências.",Hugo Leal,RJ,PSD,PSD,out.20,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2264367
PL 3009/2022,Altera,Dispõe sobre a reforma da Lei nº 9.784/99 (Lei de Processo Administrativo).,Alexis Fonteyne,SP,NOVO,NOVO,dez.22,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2343349
PL 6455/2019,Altera,"Altera a Lei 9.504, de 30 de setembro de 1997, para dispor sobre o direito de voto via internet e regulamentar este direito nos termos em que especifica.",Patricia Ferraz,AP,PL,PL,dez.19,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2234163
PL 310/2022,"Normativa, diretriz","Proíbe iniciativa de operadoras de telemarketing ativo de estabelecer contato com a chave de acesso de usuário de telefonia sem prévia autorização expressa, específica e individualizada concedida pelo usuário dos serviços de telecomunicações. Estabelece exigências e prescreve medidas para prevenção do uso indevido dos serviços de telecomunicações na prestação dos serviços de telemarketing ativo; estabelece normas gerais de proteção aos direitos básicos do consumidor dos serviços de telecomunicação e de repressão ao uso abusivo do código de acesso telefônico por originadores e operadoras de telemarketing ativo; fixa exigência de comprovação da anuência prévia, individual e específica concedida pelo usuário dos serviços de telefonia como condição para autorizar operadores e prestadores de serviços de telemarketing, televendas, tele serviços, call Centers e equiparados estabelecer contato ativo com a chave de acesso do consumidor para fins de oferta de produtos e serviços realizados por telefone; define crimes e dá outras providências.
",Nereu Crispim,RS,PSL,UNIÃO,fev.22,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2314824
PL 679/2020,Altera,"Altera a Lei nº 9.394, de 20 de dezembro de 1996 para obrigar o ensino da linguagem de programação de dados nos três anos do ensino médio.",Eduardo Bismarck,CE,PDT,PDT,mar.20,Arquivada,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239419
PL 487/2021,"Normativa, diretriz",Dispõe sobre o sistema de informação em saúde no âmbito do SUS.,Joice Hasselmann,SP,PSL,UNIÃO,fev.21,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2270404
PL 4528/2023,Altera,"Altera a Lei 9.434, de 4 de fevereiro de 1997, que “dispõe sobre a remoção de órgãos, tecidos e partes do corpo humano para fins de transplante e tratamento e dá outras providências”, para excluir a exigência de autorização judicial como condição para que pessoas juridicamente capazes possam realizar doação de tecidos, órgãos e partes do próprio corpo vivo.
",Paulo Abi-Ackel,MG,PSDB,PSDB,set.23,Aguardando Designação de Relator(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2388402
PL 3662/2019,"Normativa, diretriz",Dispõe sobre as chamadas de telemarketing ativo.,Bosco Costa,SE,PL,PL,jun.19,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2208902
PL 3217/2023,Altera,"Altera o Art. 216-B do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para instituir o crime de ""Upskirting"" nos casos que especifica, aumentando as respectivas penas.",Dr. Fernando Máximo,RO,UNIÃO,UNIÃO,jun.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2371049
PL 3890/2020,Institui,Institui o Estatuto da Vítima.,Rui Falcão;Rosana Valle;Enio Verri;Airton Faleiro;João Daniel;Beto Faro;Professora Rosa Neide;Leonardo Monteiro;Waldenor Pereira;Frei Anastacio Ribeiro;Paulo Teixeira;Gleisi Hoffmann;Célio Moura;Rogério Correia;Maria do Rosário;Nilto Tatto;Vander Loubet;Patrus Ananias;José Guimarães;Erika Kokay;Valmir Assunção;Jorge Solla;Afonso Florence;Padre João;Carlos Veras;Rejane Dias;Reginaldo Lopes;Rubens Otoni;Pedro Uczai;Zé Carlos;José Ricardo;Joseildo Ramos;Alencar Santana;Luizianne Lins,SP;SP;PR;PA;SE;PA;MT;MG;BA;PB;SP;PR;TO;MG;RS;SP;MS;MG;CE;DF;BA;BA;BA;MG;PE;PI;MG;GO;SC;MA;AM;BA;SP;CE,PT;PSB;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT,PT;PSB;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT,jul.20,Aguardando Criação de Comissão Temporária,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2258347
PL 3608/2023,"Normativa, diretriz",Estabelece diretrizes para o uso de Deepfakes pós morte,Jadyel Alencar,PI,PV,PV,jul.23,Pronta para Pauta,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2374333
PL 1317/2023,Altera,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para regulamentar os veículos autônomos terrestres, e dá outras providências.",Alberto Fraga,DF,PL,PL,mar.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2352438
PL 10762/2018,Cria,"Dispõe sobre a criação do Serviço Social e Serviço de Aprendizagem da Tecnologia da Informação e Comunicação (SETIC) para a promoção social e aprendizagem de trabalhadores da categoria econômica, em âmbito nacional.",Odorico Monteiro;Vitor Lippi;Margarida Salomão;Alessandro Molon;André Figueiredo;GOULART;CELSO PANSERA;JORGE TADEU MUDALEN;Eros Biondini;IZALCI LUCAS;Orlando Silva;RÔNEY NEMER,CE;SP;MG;RJ;CE;SP;RJ;SP;MG;DF;SP;DF,PSB;PSDB;PT;PSB;PDT;PSD;PT;DEM;PROS;PSDB;PCdoB;PP,PSB;PSDB;PT;PSB;PDT;PSD;PT;DEM;PROS;PSDB;PCdoB;PP,ago.18,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2183368
PL 4678/2020,Cria,"Cria o Cadastro de bloqueio de ligações das empresas que fornecem serviços de telemarketing e televendas, estabelece um regulamento de operação, proibindo a utilização de sistemas de robô e ligações em massa, e dá outras providências. 

",Léo Moraes,RO,PODE,PODE,set.20,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2263168
PL 3069/2022,"Normativa, diretriz",Dispõe sobre o uso de tecnologia de reconhecimento facial automatizado no âmbito das forças de segurança pública e dá outras providências.,Subtenente Gonzaga,MG,PSD,PSD,dez.22,Aguardando Designação - Aguardando Devolução de Relator(a) que deixou de ser Membro,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2345261
PL 3614/2023,"Direitos, deveres","Dispõe sobre a proteção à imagem e à voz, reconstruídas digitalmente, de pessoa já falecida.",Benedita da Silva,RJ,PT,PT,jul.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2374358
PL 4315/2020,Altera,"Altera a Lei nº 8.069, de 31 de julho de 1990, Estatuto da Criança e do Adolescente – ECA, para tipificar os crimes relativos a produção, comercialização, exposição, oferecimento, distribuição, aquisição, armazenamento, posse e porte de objeto que simule ou represente criança ou adolescente com fins sexuais ou pornográficos, e dá outras providências.",Mário Heringer,MG,PDT,PDT,ago.20,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2260817
PL 1091/2019,"Direitos, deveres","Regula o disposto no inciso XXVII, do art. 7º, da Constituição Federal, que estabelece o direito de o trabalhador urbano e rural ter ""proteção em face da automação, na forma da lei"". ",Wolney Queiroz,PE,PDT,PDT,fev.19,Aguardando Designação de Relator(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192959
PL 2537/2019,"Normativa, diretriz",Obriga o aviso sobre o reconhecimento facial em estabelecimentos comerciais.  ,Juninho do Pneu,RJ,DEM,UNIÃO,abr.19,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2199418
PL 1376/2022,"Normativa, diretriz",Determina que as dublagens e legendagens para a língua portuguesa de obras audiovisuais produzidas originalmente em idioma estrangeiro que forem ofertadas comercialmente no Brasil em quaisquer plataformas de exibição sejam realizadas por empresas sediadas no Brasil e por profissionais com residência no Brasil.,Pedro Paulo,RJ,PSD,PSD,mai.22,Pronta para Pauta,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2324873
PL 1969/2021,"Direitos, deveres","Dispõe sobre os princípios, direitos e obrigações na utilização de sistemas de inteligência artificial.
",Gustavo Fruet,PR,PDT,PDT,mai.21,Arquivada,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2284814
PL 6163/2019,Institui,Institui o Plano Regional de Desenvolvimento do Nordeste para o período de 2020-2023.,Poder Executivo,Poder Executivo,Poder Executivo,Poder Executivo,nov.19,Aguardando Providências Internas,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2230650
PL 4371/2020,Altera,"Altera dispositivos da Lei nº 12.188, de 11 de janeiro de 2010, que institui a Política Nacional de Assistência Técnica e Extensão Rural para a Agricultura Familiar e Reforma Agrária - PNATER e o Programa Nacional e Assistência Técnica e Extensão Rural na Agricultura Familiar e na Reforma Agrária - PRONATER, altera a Lei nº 8.666, de 21 de junho de 1993 e dá outras providências.",Zé Silva,MG,SOLIDARI,SOLIDARI,ago.20,Retirado pelo(a) Autor(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2261120
PL 4730/2023,Altera,"Incluir a alínea ""m"" no inciso II do artigo 61 do Decreto Lei n° 2.848, de 7 de dezembro de 1940, Código penal, para prever o uso da inteligência artificial como circunstância agravante, e dá outras providências.",Delegado Palumbo,SP,MDB,MDB,set.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2391592
PL 1802/2022,Cria,"Cria os Conselhos Federal e Regionais de Física, e dá outras providências.",Daniel Almeida,BA,PCdoB,PCdoB,jun.22,Aguardando Designação de Relator(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2330651
PL 1465/2024,"Direitos, deveres","Estabelece princípios, garantias, direitos e deveres para o desenvolvimento, a implementação e a aplicação da inteligência artificial no Brasil, visando promover sua utilização segura, ética e responsável.
",Júnior Mano,CE,PL,PL,abr.24,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2430325
PL 1119/2024,Altera,"Altera a Lei nº 12.965, de 23 de abril de 2014, obrigando os provedores de aplicações de internet a removerem os conteúdos publicitários divulgados por meio das suas plataformas que utilizem imagens ou vozes falsas de pessoas para promover o anúncio de produtos e serviços. 
",Emanuel Pinheiro Neto,MT,MDB,MDB,abr.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2424878
PL 1118/2024,Altera,"Altera a redação dos arts. 226, 240, 243, 244, 394, 397, 399, 400, 400-A, 577, 583, 593 e 600, todos do Decreto-Lei nº 3.689, de 3 de outubro de 1941 – Código de Processo Penal.",General Pazuello,RJ,PL,PL,abr.24,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2424877
PL 4025/2023,Altera,"Esta lei altera a Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil, e a Lei nº 9.610, de 19 de fevereiro de 1998, dispondo sobre a utilização da imagem de uma pessoa, viva ou falecida, e dos direitos autorais, decorrentes da utilização de inteligência artificial.",Marx Beltrão,AL,PP,PP,ago.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2380982
PL 3800/2023,Altera,"Altera o art. 171 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para aumentar a pena do crime de fraude eletrônica quando a conduta for praticada com a utilização de inteligência artificial.",Acácio Favacho,AP,MDB,MDB,ago.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2376427
PL 4079/2023,Institui,Institui o Programa Nacional de Incentivo à Tecnologia na Educação e Saúde – PRONITES.,Helio Lopes,RJ,PL,PL,ago.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2382101
PL 3392/2024,"Normativa, diretriz","Estabelece diretrizes para o uso ético de tecnologias de inteligência artificial na replicação de vozes de artistas e dubladores em anúncios digitais e outras produções audiovisuais, garantindo o consentimento explícito e a justa remuneração dos envolvidos, reforça a proteção jurídica da voz como direito garantido à imagem, e estabelece mecanismos de fiscalização e reparação. 
",Júnior Mano,CE,PL,PL,ago.24,Aguardando Chancela e Publicação do Despacho,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2456204
PL 3088/2024,Altera,"Altera a Consolidação das Leis do Trabalho (CLT) para Altera a Consolidação das Leis do Trabalho (CLT) para dispor sobre a proteção dos trabalhadores frente ao uso da Inteligência Artificial (IA).
",Júnior Mano,CE,PL,PL,ago.24,Aguardando Designação de Relator(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2451411
PL 3149/2024,Altera,"Altera o art. 39 da Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para proibir a utilização de sistemas automatizados para ligações em massa e repetitivas, nos serviços de televendas, centrais de relacionamento telefônico (Contact Center), operadoras de telemarketing, e dá outras providências.
",Lebrão,RO,UNIÃO,UNIÃO,ago.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2452633
PL 3236/2024,"Direitos, deveres","Dispõe sobre a proteção dos direitos de propriedade intelectual dos atletas, regulamentando o registro e a exploração de movimentos esportivos, marcas pessoais, o uso da imagem dos atletas para fins comerciais e o uso de Inteligência Artificial no contexto esportivo, e dá outras providências.",Júnior Mano,CE,PL,PL,ago.24,Aguardando Designação de Relator(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2454171
PL 3385/2024,Declara,"Declara a Dublagem Brasileira como Patrimônio Cultural Imaterial Nacional.
",Professora Luciene Cavalcante,SP,PSOL,PSOL,ago.24,Aguardando Designação de Relator(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2456063
PL 6119/2023,Altera,"Altera o Decreto-Lei nº 2848, de 07 de dezembro de 1940 – Código Penal, para dispor sobre o uso fraudulento de inteligência artificial.",Kim Kataguiri,SP,UNIÃO,UNIÃO,dez.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2415560
PL 5859/2023,"Direitos, deveres","Proíbe o uso de Aplicativos e Programas de Inteligência Artificial para criação de “Deep Nudes” e dá outras providências.
",Felipe Francischini,PR,UNIÃO,UNIÃO,dez.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2409286
PL 5931/2023,Altera,"Altera a Lei n º 9.504, de 30 de setembro de 1997 (Lei das Eleições) para dispor sobre o uso da inteligência artificial em propaganda eleitoral.",Carlos Chiodini,SC,MDB,MDB,dez.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2411790
PL 6211/2023,Altera,"Altera a Lei no 8.069, de 13 de julho de 1990 – Estatuto da Criança e do Adolescente, para criminalizar a criação de conteúdo erótico e pornográfico, a partir do rosto de crianças e adolescentes, por meio de sistemas de inteligência artificial e altera o Decreto-Lei no 2.848, de 7 de dezembro de 1940 – Código Penal, para criminalizar a criação de conteúdo erótico e pornográfico por meio de sistemas de inteligência artificial, a partir do resto da vítima, e sem o seu consentimento.
",Renata Abreu,SP,PODE,PODE,dez.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2416533
PL 5938/2023,Altera,"Altera a Lei 12.965, de 23 de abril e 2014, que estabelece princípios, garantias, direitos e deveres para o uso da Internet no Brasil, para prever que provedores de redes sociais adotem medidas para identificar e sinalizar conteúdos realizados com uso de inteligência artificial.",Lídice da Mata,BA,PSB,PSB,dez.23,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2411874
PL 177/2024,Declara,"“Institui a Campanha de Conscientização e Prevenção contra Crimes Cibernéticos, cometidos por meio do uso indevido da inteligência artificial, contra crianças e adolescentes.” ",Saullo Vianna,AM,UNIÃO,UNIÃO,fev.24,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2417362
PL 349/2024,Declara,"Institui campanha de prevenção e combate aos crimes digitais contra crianças, adolescentes e pessoas com deficiência praticados com o suporte de ferramentas de inteligência artificial.
",Maria Rosas,SP,REPUBLIC,REPUBLIC,fev.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418314
PL 390/2024,Altera,"Altera a Lei nº 10.406 de 10 de janeiro de 2002 (Código Civil), para reconhecer como fraude anúncios de produtos falsos e golpes financeiros, que envolvam o uso manipulado por inteligência artificial da imagem e voz de pessoas.
",Camila Jara,MS,PT,PT,fev.24,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418485
PL 303/2024,Altera,"Altera o art. 6º da Lei nº 9.279, de 14 de maio de 1996, para dispor sobre a titularidade de invenções geradas de forma autônoma por sistemas de inteligência artificial.",Júnior Mano,CE,PL,PL,fev.24,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418048
PL 477/2024,Altera,"Tipifica na lei penal a alteração de fotos, vídeos e som com o uso de sistema de Inteligência Artificial para praticar violência contra a mulher. ",Saullo Vianna,AM,UNIÃO,UNIÃO,fev.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418795
PL 93/2024,Altera,Altera o art. 171 do Decreto-Lei nº 2.848/1940 para estabelecer sanções específicas em fraudes eletrônicas.,Célio Studart,CE,PSD,PSD,fev.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2417050
