Numero,Tipo,Ementa,Autor,UF,Partido original,Partido atual,Data,Situação,Link
PL 1539/2024,Institui,"Institui o Fundo de Incentivo ao Desenvolvimento e Inovação da Indústria deInteligência Artificial (Fidia).
",Carlos Henrique Gaguim,TO,UNIÃO,UNIÃO,mai.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2430863
PL 1546/2024,Altera,"Altera a Lei nº 8.213, de 24 de julho de 1991, para dispor sobre exigência de escritura pública, instrumento particular com firma reconhecida ou assinatura eletrônica qualificada, para autorização de desconto de mensalidades de associações e demais entidades de aposentados legalmente reconhecidas em benefícios administrados pelo Instituto Nacional do Seguro Social (INSS).",Murilo Galdino,PB,REPUBLIC,REPUBLIC,mai.24,Aguardando Designação de Relator(a),http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2430953
PL 1758/2024,Altera,"Altera a Lei nº 4.737, de 15 de julho de 1965, que institui o Código Eleitoral, para estabelecer a hipótese de punição em caso de adulteração ou criação, por qualquer meio, de textos, áudios, imagens, vídeos ou outras mídias destinadas a difundir a crença em fato falso relacionado a candidatos ou à disputa eleitoral.",Aureo Ribeiro,RJ,SOLIDARI,SOLIDARI,mai.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2432900
PL 1845/2024,Altera,"Altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet), ampliando o conjunto de informações a serem armazenadas pelos provedores de conexão e de aplicação de internet para fins de apuração de ilícitos.",Gilvan Maximo,DF,REPUBLIC,REPUBLIC,mai.24,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2434055
PL 705/2022,"Normativa, diretriz","Dispõe sobre a compatibilização dos sistemas de Inteligência Artificial utilizados pela Administração Pública a práticas da agenda ambiental, social e de governança.",Helio Lopes,RJ,UNIÃO,UNIÃO,mar.22,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2318674
PL 759/2023,"Direitos, deveres","Regulamenta os sistemas de Inteligência Artificial, e dá outras providências. ",Lebrão,RO,UNIÃO,UNIÃO,mar.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2349685
PL 1473/2023,"Direitos, deveres","Esta Lei torna obrigatória a disponibilização, por parte das empresas que operam sistemas de inteligência artificial, de ferramentas que garantam aos autores de conteúdo na internet a possibilidade de restringir o uso de seus materiais pelos algoritmos de inteligência artificial, com o objetivo de preservar os direitos autorais.",Aureo Ribeiro,RJ,SOLIDARI,SOLIDARI,mar.23,Pronta para Pauta,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2353916
PL 711/2024,Altera,"Institui canal de atendimento via telefone preferencial para idosos e dá outras providências.
",Marx Beltrão,AL,PP,PP,mar.24,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2420452
PL 897/2024,"Direitos, deveres",Dispõe sobre a Autenticação de Mídia Digital criada ou modificada por Inteligência Artificial (IA) e dá outras providências.,Saullo Vianna,AM,UNIÃO,UNIÃO,mar.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2422387
PL 896/2024,"Direitos, deveres","Dispõe sobre a Proteção contra Deepfakes e dá outras providências.
",Saullo Vianna,AM,UNIÃO,UNIÃO,mar.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2422375
PL 841/2024,Altera,"Altera a Lei nº 8.078, de 11 de setembro de 1990, para tornar obrigatória a exibição de aviso ao consumidor sobre imagem ou vídeo publicitário produzido com o uso de inteligência artificial.
",Ruy Carneiro,PB,PODE,PODE,mar.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2421854
PL 733/2024,Institui,"Institui varas especializadas para processar e julgar crimes cibernéticos.
",Beto Pereira,MS,PSDB,PSDB,mar.24,Aguardando Providências Internas,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2420743
PL 842/2024,Altera,"Altera a Lei no 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para dispor sobre a obrigatoriedade de que aplicações de internet que se utilizem de mecanismos de inteligência artificial para a geração de conteúdos audiovisuais insiram sinalização nos conteúdos produzidos.
",Ruy Carneiro,PB,PODE,PODE,mar.24,Tramitando em Conjunto,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2421855
PL 536/2024,"Direitos, deveres","Regulamenta a profissão de Motorista Autônomo de Serviços de Mobilidade Urbana e dá outras providências.
",Daniel Agrobom;Silvia Waiãpi;Dayany Bittencourt;Capitão Alden;Delegado Caveira;Felipe Saliba,GO;AP;CE;BA;PA;MG,PL;PL;UNIÃO;PL;PL;PRD,PL;PL;UNIÃO;PL;PL;PRD,mar.24,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419137
PL 5694/2023,Altera,"Criminaliza a manipulação ou adulteração de fotos, vídeos ou sons, utilizando-se de sistemas de inteligência artificial, com o intuito de causar constrangimento, humilhação, assédio, ameaça ou qualquer outro tipo de violência contra crianças ou adolescentes, além disso, aumenta a pena para crimes relacionados à pornografia infantil na hipótese de uso de inteligência artificial, se a cena de sexo explícito ou pornográfica envolvendo criança ou adolescente for manipulada ou adulterada por meio de sistema de inteligência artificial.
",Fred Linhares,DF,REPUBLIC,REPUBLIC,nov.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2406508
PL 5303/2023,Altera,Dispõe sobre a prestação de serviços mediante o uso de inteligência artificial.,Renata Abreu,SP,PODE,PODE,nov.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2400917
PL 5695/2023,Altera,"Tipifica penalmente a alteração de fotos, vídeos e som com o uso de sistema de Inteligência Artificial para praticar violência contra a mulher.
",Fred Linhares,DF,REPUBLIC,REPUBLIC,nov.23,Aguardando Parecer,http://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2406516
